comment,SEJ_label,PEJ_label,MRJ_label
이재명 아버지당이 할수 잇는짓은 탄핵 뿐이로다어찌하오리까 망해가는 민주당 아 민주당  살길을 찻어야지 망하는길로 가는구나,1,1,1
탄핵 이유가 다 있었구먼? 간신과 역적이 득세한 조정에서 충신이 나타나면 바로 탄핵감이지,1,1,1
해도 안되니 별걸 들추려하네 불쌍타,1,1,1
하나 같이 감사원이나 이리저리 말도 안되는 소리 하네 국민들 히롱하니,1,1,1
가짜 평화쇼  욕먹을만 하네 근데 니들은 총 쏴달라고함 기억은 나지 쏴달라고한거,1,1,1
"윤석두 호위부대로 전락한 깜사원아,,딱 한마디만 한다.자업자득..ㅉㅉ",1,1,1
"범죄자 이재명, 성범죄자 정청래의 작품",1,1,1
ㅋㅋ 국회는 권력기괸이 아니다? 지나가던X가 웃을 소리,1,1,1
그래 니들 내년 연봉도 1.7%올렸더라.. 지들 주머니 챙길때는 여야 아주 합이좋아.. ㅡ..ㅡ,1,1,1
이나라  도적놈들은  국회에 다 몰려있는것같네.,1,1,1
확실히. 이재명 지지하는 사람은 범죄자 아니면 싸이코,1,1,1
자기들월급을자기들이결정하다니.웃기지도않다.당장국회의원월급은 행안부 통하게해라,1,1,1
역시 내로남불 우덜은 괜찮당께~~ 정부 수사기관 특활비는 사용처를 알수없고 울 잼파파 수사했으니 삭감!! 하지만 우리들이 쓰는 특활비는 괜찮아!!!,1,1,1
"특활비가 뭔지알어?기밀한 수사나 기밀한 일을 처리할때 사용하는건데 국회가 뭐 그게 왜필요하냐
진짜 뭐해
국민들이 바보네ㅋㅋ",1,1,1
국회 특활비도 삭감해라,0,0,0
국민이 개돼지로 보이냐,1,1,1
국회가 최고의 권력기관임,0,0,0
"이나라는 이미 망했다,..이민가는게답인듯",1,1,1
국회는 권력기관이 아니냐? 법가지고 탄핵협박하는것들인데 ㅋㅋㅋㅋ,1,1,1
돈 쓴거 소명하긴 싫다고 하니 돈 깎았더니 나만 죽을 수 없다고 이러고 있네 ㅋㅋㅋ,1,1,1
국회는 증빙을 했고~ 검찰과 감사원은 쌈지돈으로 쓴거라 증빙을 못한거 ㅋ,0,1,1
예산 감액할때 1순위가 국회의원 특활비 그리고 국회의원 급여 여든 야든 일단 밥그릇챙기지말고 먼저 빼라,0,1,1
드련넘들아 국회예산 너의봉급부터. 깍으라고. 엉 검찰경찰 나라살림예산만. 깍지말고,1,1,1
이재명 쓰시 값은 국회 특활비로 내는구나.,1,1,0
국회도 특활비 전액삭감하라,0,0,0
정부 예산 전부 삭감하고더러운 국개의원들 특활비는 그래도?,1,1,1
코인세 받아야한다고 ji ral 하더만 지네 특할비는 손안대는 민주당 ㅋㅋㅋㅋ,1,1,1
특활비 영수증 증빙을 하시라고요!!! 국민혈세쓰면서!!!! 뭐가 구려서 못해???,1,1,1
국회 특활비도 전액 삭감해라 내로남불 정치꾼들아,1,1,1
괜춘함. 더드미가  무엇을하든 더드미걸레를 지지하도록 이미 좌경화 되었음,1,1,1
국회 예산 삭감이 1순위 아니냐? 진짜 자기들만 생각하는거냐?,1,1,1
적폐언론들이 발악을 하는구나..,1,1,1
국회특활비는 왜삭감안해 ? 국회가 사라져야 국민이변하게살수있다 ㅠ,1,1,1
내로남불의전형더듬당 지들깜깜이쓸돈은 냅두면서남은안돼 ㅋㅋㅋㅋㅋㅋ,1,1,1
사용내역과 영수증을 지대루 제출하기때문에  그대로지억울하면 사용내역과 영수증 내던가?,0,0,1
이런식으로 호도를 하네..ㅋㅋㅋ 내역증빙을 하면 예산을 준다고 했는데 끝까지 증빙을 안해서 깎았는데 그걸 이거랑 엮네 ㅋㅋㅋㅋㅋ,0,0,1
국회는 대상이 아닌 이유가 뭐냐? 국회 부터 까라.,0,1,1
국회특활비는 입증이 되잖니,0,0,0
이러니  민주당이 욕처먹는거다,1,1,1
여든야든 과반수를 넘으면 지금처럼 폭주현상이 일어난다.,0,0,1
정우성과 사실혼인 회계사 입장은? 혼외자를 혼외자라하는 것 뿐이다. 그나저나 여가부는 언제 해체하는가?,1,1,1
내가 한국에서 싫어하는것들 1.페미니스트  2. 촐랑대는 개들 3.조선족,1,1,1
겉으론 깨끗한척 뒤론 더러운짓하며 국민선동하는 좌파꼴통들만 없어져도 나라가 깨끗해진다,1,1,1
"미사일 -> 발사체, 피해자 -> 피해호소인 시즌 3 혼외자 ㅋㅋㅋㅋㅋㅋㅋ 감성정치 어디안가네",1,1,1
아놔 홍길동도 아니고 엄연한 법적용어인 혼외자를 혼외자로 부르지 말자는건 범죄자 이죄명을 범죄자로 부르지 말자고 믿밥까는건가?,1,1,1
세상이 정우성에게 맞춰줘야 하냐?,0,0,0
정우성이 아끼는 난민이라 하자,0,0,0
"혼외자를 해석하면 '혼인 이외의 관계에서 가진 자녀'라는 뜻인데, 정우성 자식이 혼외자가 아니면 뭐지???",0,0,0
피해자를 피해호소인으로 바꿔부르고 이제 혼외자를 뭐라 부르려고 ㅋㅋㅋ?,0,1,1
나중에 니 아들이 밖에서 니말대로 아들데리고 오면 참 좋겠다 잘 받아주거라 지독한 정상을 말하는게 아니라 그저 보편타당한 원칙도 이 사회에선 중요하다,1,0,0
지까짓거 듣기 싫다고 옛부터 써온 우리말을 바꾸자니 뭔 개소린지 도통 거슬린다 진짜…ㅎㅎㅎ,1,1,1
혼외자가 아니면 그럼 “혼내자”?.. 민주당 애들은 현실을 부정하는 pc주의에 찌들어있다.,1,1,1
정우성은 그냥 의식있는척하는 이중적인 좌파꼴통이지,1,1,1
니남편이 바람펴서 애낳았는데 그냥 아들이라고하면좋겠니.  같은좌편이라도 쉴드칠걸쳐라. ㅉㅉ,1,1,1
좌파 영웅만들기 놀이 지긋지긋하다. 어떻게서든지 영웅놀이 하는거 보면,1,1,1
채동욱인가 그아저씨땐 난리더니 아주 꼴값들 떠네,1,1,1
니가 여가부 차관 맞냐???혼외자 맞잖아!!!!@@,1,1,1
여기가 프랑스니? 니들이 원하는 거 내줄 생각 없으니 돌아가고. 가정해체 조장하는 니들로부터 대한민국 지킬 거다.,1,1,1
혼외자 사생아 사전에 나오는데...아들 호소인이라고 하던가...,0,1,1
